,Date,KGD,KNR,WYD,KKD,MPM,PKD,TSR,EKM,IDK,KTM,ALP,PTA,KLM,TVM
0,04/08/2020,4032,9505,2875,12500,31212,10947,11978,12457,4141,9396,6438,4588,9002,15991
1,05/08/2020,4162,9629,2857,13132,31571,10644,11790,13263,4181,9593,6648,4944,9166,16394
2,06/08/2020,4329,9721,2883,13455,31792,10939,11662,12391,4285,9043,6924,4970,8511,17134
3,07/08/2020,4422,9679,2921,13463,32500,11733,11673,12260,4116,9330,6949,5071,8023,17544
4,10/08/2020,4701,8919,2774,13784,32536,11530,10982,12336,3848,9708,7190,5028,7710,18249
5,11/08/2020,4844,8731,2800,14209,32958,11578,9708,12728,3737,10105,6768,5101,7606,18834
6,12/08/2020,4988,8927,2717,14578,33791,11681,9704,13356,3824,9515,6920,5176,7228,19347
7,13/08/2020,5145,9064,2772,14502,33694,12051,9706,13767,3914,9002,7140,5276,7418,19610
8,14/08/2020,5171,8936,2759,14750,33763,12329,9707,13933,4169,9305,7373,5175,7536,20119
9,15/08/2020,5245,9099,2776,14791,34481,12888,9960,14325,4134,9584,7331,5098,7837,22620
10,16/08/2020,5068,9042,2667,15086,34690,13716,10030,14646,4248,9871,7588,5019,7844,22702
11,17/08/2020,5108,9079,2761,14720,36233,13693,9135,15015,7547,10202,4195,5080,8114,23147
12,18/08/2020,5093,9171,2784,14922,37531,13768,8891,15576,7705,9377,4270,5386,8537,22553
13,19/08/2020,5119,9141,2634,14720,38702,14142,9010,17137,4215,9667,7700,5267,8951,23282
14,20/08/2020,4936,9004,3053,14850,40315,14084,9104,16839,4210,10322,7926,5390,9169,23987
15,21/08/2020,5354,9287,3300,14837,40582,14093,9395,17094,4222,11004,8663,5493,9479,24127
16,22/08/2020,5402,9621,3623,14864,41539,13687,9596,16886,4200,12033,9510,5602,9445,24241
17,23/08/2020,5336,9754,3666,14964,42406,13943,9225,17423,4245,12342,9414,5635,9385,24787
18,24/08/2020,5288,10059,3771,14812,43035,13515,9802,17318,4302,13133,9444,5724,9195,24050
19,25/08/2020,5335,10191,3712,14963,42935,13892,9365,17410,4255,12350,9564,5805,9617,24400
20,26/08/2020,5430,10392,3846,15170,44577,13570,9619,17712,4045,12088,9730,5762,13190,24650
21,27/08/2020,5532,10815,3862,15304,45343,12955,9727,18067,4253,12397,9882,5841,15220,24727
22,28/08/2020,5484,11089,3783,15122,45408,13023,10224,17814,4420,13124,9514,5796,15209,24421
23,29/08/2020,5598,11527,3782,15151,46195,12414,10127,17972,4460,13725,9780,5825,15223,24148
24,30/08/2020,6218,12005,3236,15391,47023,12743,10076,18064,4627,14378,9805,5881,15730,24291
25,31/08/2020,6324,11590,3223,15205,47282,11937,10372,18381,4462,15034,9726,5987,15749,23571
26,01/09/2020,6386,11468,3025,15127,47120,11622,10092,18252,4423,15603,9791,6106,15073,22494
27,02/09/2020,6388,11612,3031,14838,47156,10860,10119,17944,4359,15083,9678,6080,14862,21726
28,03/09/2020,6474,11810,2977,15017,46966,10733,10319,16102,4375,14997,9726,6043,15078,21551
29,04/09/2020,6058,12210,2892,15118,48284,10480,10549,18862,4417,15634,9769,5996,16203,21465
30,05/09/2020,5981,12363,2908,14897,48652,10302,10838,19663,4578,16289,9575,5978,14522,21574
31,06/09/2020,6104,12471,2637,15200,48142,10378,10048,20357,4767,16630,9705,6007,15550,22300
32,07/09/2020,6004,12842,2602,15550,46986,10199,9872,20741,5066,16764,9317,6015,15889,22804
33,08/09/2020,6579,13052,2462,15782,42231,9785,9953,20890,5374,17391,9141,6063,17138,23009
34,09/09/2020,6284,13120,2375,16098,42284,9830,10957,21324,5581,17967,9120,6143,18315,23403
35,10/09/2020,6168,12832,2613,16570,42618,9231,11099,22389,5926,18641,9137,6207,17539,23406
36,11/09/2020,5939,13827,2768,16924,39110,8451,11248,23042,6243,19340,9168,6275,17405,23516
37,12/09/2020,5938,13868,2896,17375,36710,8783,11070,23010,6543,18873,9554,6383,18456,23841
38,13/09/2020,5243,13908,2940,18055,33795,9373,11161,23278,6801,19671,9559,6560,19975,24170
39,14/09/2020,5288,14091,2959,18819,31936,9664,10848,23096,7027,20415,9576,6668,20120,24651
40,15/09/2020,5132,14468,2945,19240,32617,9329,10871,23482,7041,20171,9768,6771,21212,25094
41,16/09/2020,5057,14668,2970,19754,32851,8546,11018,23829,7376,20051,10485,6982,22168,25282
42,17/09/2020,4941,15125,3006,20032,33926,8701,11130,23595,7360,20018,11071,7180,22080,25430
43,18/09/2020,4849,15239,3082,20820,32954,8661,11581,23731,7545,19970,11451,7313,23528,25538
