,Date,KGD,KNR,WYD,KKD,MPM,PKD,TSR,EKM,IDK,KTM,ALP,PTA,KLM,TVM
0,04/08/2020,4032,9505,2875,12500,31212,10947,11978,12457,4141,9396,6438,4588,9002,15991
1,05/08/2020,4162,9629,2857,13132,31571,10644,11790,13263,4181,9593,6648,4944,9166,16394
2,06/08/2020,4329,9721,2883,13455,31792,10939,11662,12391,4285,9043,6924,4970,8511,17134
3,07/08/2020,4422,9679,2921,13463,32500,11733,11673,12260,4116,9330,6949,5071,8023,17544
4,10/08/2020,4701,8919,2774,13784,32536,11530,10982,12336,3848,9708,7190,5028,7710,18249
5,11/08/2020,4844,8731,2800,14209,32958,11578,9708,12728,3737,10105,6768,5101,7606,18834
6,12/08/2020,4988,8927,2717,14578,33791,11681,9704,13356,3824,9515,6920,5176,7228,19347
7,13/08/2020,5145,9064,2772,14502,33694,12051,9706,13767,3914,9002,7140,5276,7418,19610
8,14/08/2020,5171,8936,2759,14750,33763,12329,9707,13933,4169,9305,7373,5175,7536,20119
9,15/08/2020,5245,9099,2776,14791,34481,12888,9960,14325,4134,9584,7331,5098,7837,22620
10,16/08/2020,5068,9042,2667,15086,34690,13716,10030,14646,4248,9871,7588,5019,7844,22702
11,17/08/2020,5108,9079,2761,14720,36233,13693,9135,15015,7547,10202,4195,5080,8114,23147
12,18/08/2020,5093,9171,2784,14922,37531,13768,8891,15576,7705,9377,4270,5386,8537,22553
13,19/08/2020,5119,9141,2634,14720,38702,14142,9010,17137,4215,9667,7700,5267,8951,23282
14,20/08/2020,4936,9004,3053,14850,40315,14084,9104,16839,4210,10322,7926,5390,9169,23987
15,21/08/2020,5354,9287,3300,14837,40582,14093,9395,17094,4222,11004,8663,5493,9479,24127
16,22/08/2020,5402,9621,3623,14864,41539,13687,9596,16886,4200,12033,9510,5602,9445,24241
17,23/08/2020,5336,9754,3666,14964,42406,13943,9225,17423,4245,12342,9414,5635,9385,24787
18,24/08/2020,5288,10059,3771,14812,43035,13515,9802,17318,4302,13133,9444,5724,9195,24050
