,srno,date,covid_cases,contact_cases,patients_relieved,unknown_sources,Total_Active_Cases,Death_rate
0,1,04/08/2020,1083,902.0,1021,71.0,11543,3
1,2,05/08/2020,1195,971.0,1234,79.0,11495,7
2,3,06/08/2020,1298,1017.0,800,76.0,11986,3
3,4,07/08/2020,1251,1061.0,814,73.0,12414,5
4,5,08/08/2020,1420,1216.0,1715,92.0,12112,4
5,6,09/08/2020,1211,1026.0,970,103.0,12350,2
6,7,10/08/2020,1184,956.0,784,114.0,12740,7
7,8,11/08/2020,1417,1242.0,1426,105.0,12724,5
8,9,12/08/2020,1212,1068.0,880,45.0,13048,6
9,10,13/08/2020,1564,1380.0,766,98.0,13842,3
10,11,14/08/2020,1569,1354.0,1304,86.0,14097,10
11,12,15/08/2020,1608,1409.0,803,112.0,14894,7
12,13,16/08/2020,1530,1351.0,1099,100.0,15313,10
13,14,17/08/2020,1725,1572.0,1131,94.0,15893,13
14,15,18/08/2020,1758,1641.0,1365,81.0,16277,6
15,16,19/08/2020,2333,2151.0,1217,53.0,17385,7
16,17,20/08/2020,1968,1737.0,1217,100.0,18126,9
17,18,21/08/2020,1983,1777.0,1419,109.0,18676,12
18,19,22/08/2020,2172,1964.0,1292,153.0,19538,15
19,20,23/08/2020,1908,1718.0,1110,160.0,20333,5
20,21,24/08/2020,1242,1081.0,1238,95.0,20326,11
21,22,25/08/2020,2375,2142.0,1456,174.0,21235,10
22,23,26/08/2020,2476,2243.0,1351,175.0,22347,13
23,25,28/08/2020,2543,2260.0,2097,229.0,23114,7
24,27,30/08/2020,2154,1962.0,1766,174.0,23661,7
25,28,31/08/2020,1530,1367.0,1693,136.0,23491,7
26,29,01/09/2020,1140,1059.0,2111,158.0,22515,4
27,30,02/09/2020,1547,1419.0,2129,156.0,21926,7
28,32,04/09/2020,2479,2255.0,2716,149.0,21271,11
29,34,06/09/2020,3082,2844.0,2196,189.0,22679,10
30,35,07/09/2020,1648,1495.0,2246,112.0,22069,12
31,36,08/09/2020,3026,2723.0,1862,237.0,23220,13
32,37,09/09/2020,3402,3120.0,2058,235.0,24552,12
33,38,10/09/2020,3349,3058.0,1657,266.0,26232,12
34,39,11/09/2020,2988,2738.0,1326,285.0,27880,14
35,40,12/09/2020,2885,2640.0,1944,287.0,28805,15
36,41,13/09/2020,3139,2921.0,1855,251.0,30075,14
37,42,14/09/2020,2540,2346.0,2110,,30489,15
38,43,15/09/2020,3215,3013.0,2532,313.0,31159,12
39,44,16/09/2020,3830,3562.0,2263,350.0,32712,14
40,45,17/09/2020,4351,3730.0,2737,351.0,34317,10
41,46,18/09/2020,4167,3840.0,2744,410.0,35727,12
42,47,19/09/2020,4644,3781.0,2862,498.0,37495,18
43,48,20/09/2020,4696,4425.0,2751,459.0,39422,16
44,49,21/09/2020,2910,2653.0,3022,313.0,39292,18
45,50,22/09/2020,4125,3463.0,3007,412.0,40389,19
46,50,23/09/2020,5376,4424.0,2951,640.0,42793,20
47,51,24/09/2020,6324,5321.0,3168,628.0,45926,21
48,52,25/09/2020,6477,5418.0,3481,713.0,48899,22
49,53,26/09/2020,7006,6004.0,3199,664.0,52685,21
50,54,27/08/2020,7445,6965.0,3391,561.0,56716,21
51,55,28/09/2020,4538,3997.0,3347,,57886,20
52,56,29/09/2020,7354,6364.0,3420,672.0,61798,22
53,57,30/09/2020,8830,7695.0,3536,784.0,67068,23
54,58,01/10/2020,8135,7013.0,2828,730.0,72346,29
55,59,02/10/2020,9258,8274.0,4092,657.0,77489,20
56,60,03/10/2020,7834,6850.0,4476,648.0,80825,22
57,61,04/10/2020,8553,7527.0,4851,716.0,84504,23
58,62,05/10/2020,5042,4338.0,4640,450.0,84880,23
59,63,06/10/2020,7871,6910.0,4981,640.0,87745,25
60,64,07/10/2020 ,10606,9542.0,6161,741.0,92168,22
