srno,date,covid_cases,contact_cases,patients_relieved,unknown_sources,Total_Active_Cases
1,04/08/2020,1083,902,1021,71,11543 
2,05/08/2020,1195,971,1234,79,11495
3,06/08/2020,1298,1017,800,76,11986
4,07/08/2020,1251,1061,814,73,12414
5,08/08/2020,1420,1216,1715,92,12112
6,09/08/2020,1211,1026,970,103,12350
7,10/08/2020,1184,956,784,114,12740
8,11/08/2020,1417,1242,1426,105,12724
9,12/08/2020,1212,1068,880,45,13048
10,13/08/2020,1564,1380,766,98,13842
11,14/08/2020,1569,1354,1304,86,14097
12,15/08/2020,1608,1409,803,112,14894
13,16/08/2020,1530,1351,1099,100,15313
14,17/08/2020,1725,1572,1131,94,15893
15,18/08/2020,1758,1641,1365,81,16277
16,19/08/2020,2333,2151,1217,53,17385

